INFO 2024-01-04 13:39:33,493 autoreload 23152 29100 Watching for file changes with StatReloader
INFO 2024-01-04 13:39:44,020 views 23152 29748 xoD1myDGAco55ee3ba95b32687c3e7fbcb7199b1654e.jpg
INFO 2024-01-04 13:39:44,026 basehttp 23152 29748 "POST /upload/ HTTP/1.1" 200 139
INFO 2024-01-04 13:39:44,045 views 23152 10040 graduate_add() >> request.POST
INFO 2024-01-04 13:39:44,143 basehttp 23152 10040 "POST /graduate_add/ HTTP/1.1" 200 82
INFO 2024-01-04 13:41:12,588 autoreload 23152 29100 D:\aItems\2024-01-02-副业-学校管理科邮件发送\collectAndSendEmailAdmin\collectAndSendEmailAdmin\views.py changed, reloading.
INFO 2024-01-04 13:41:13,367 autoreload 9152 31712 Watching for file changes with StatReloader
INFO 2024-01-04 13:41:35,174 autoreload 9152 31712 D:\aItems\2024-01-02-副业-学校管理科邮件发送\collectAndSendEmailAdmin\collectAndSendEmailAdmin\views.py changed, reloading.
INFO 2024-01-04 13:41:35,970 autoreload 27412 24360 Watching for file changes with StatReloader
INFO 2024-01-04 13:41:49,588 views 27412 21568 original file: pLQ8pgbpC4FTf3075210dd4e0c002e82fa3aae38099f.jpg
INFO 2024-01-04 13:41:49,592 basehttp 27412 21568 "POST /upload/ HTTP/1.1" 200 139
INFO 2024-01-04 13:41:49,603 views 27412 36812 graduate_add() >> request.POST: <QueryDict: {'g_cert_pic': ['media/certificates/2024/01/04/371521202405018888/GdBupLQ8pgbpC4FTf3075210dd4e0c002e82fa3aae38099f.jpg'], 'g_name': ['张三2'], 'g_sex': ['0'], 'g_college': ['信息院'], 'g_major': ['计算机专业'], 'g_year': ['2021'], 'g_id_no': ['371521202405018888'], 'g_phone': ['15022220000'], 'g_mailing_address': ['兰州大学榆中校区']}>
INFO 2024-01-04 13:41:49,604 views 27412 36812 graduate_add() >> settings.BASE_DIR: D:\aItems\2024-01-02-副业-学校管理科邮件发送\collectAndSendEmailAdmin
INFO 2024-01-04 13:41:49,604 views 27412 36812 graduate_add() >> relative_pic_path: media/certificates/2024/01/04/371521202405018888/GdBupLQ8pgbpC4FTf3075210dd4e0c002e82fa3aae38099f.jpg
INFO 2024-01-04 13:41:49,604 views 27412 36812 graduate_add() >> full_path: D:\aItems\2024-01-02-副业-学校管理科邮件发送\collectAndSendEmailAdmin\media/certificates/2024/01/04/371521202405018888/GdBupLQ8pgbpC4FTf3075210dd4e0c002e82fa3aae38099f.jpg
INFO 2024-01-04 13:41:49,615 views 27412 36812 graduate_add() >> create django_file: D:\aItems\2024-01-02-副业-学校管理科邮件发送\collectAndSendEmailAdmin\media/certificates/2024/01/04/371521202405018888/GdBupLQ8pgbpC4FTf3075210dd4e0c002e82fa3aae38099f.jpg
INFO 2024-01-04 13:41:49,622 basehttp 27412 36812 "POST /graduate_add/ HTTP/1.1" 200 82
INFO 2024-01-04 13:44:04,759 basehttp 27412 8868 "GET /admin/collectAndSendEmailAdmin/graduate/?o=-1 HTTP/1.1" 200 32329
INFO 2024-01-04 13:44:04,789 basehttp 27412 8868 "GET /static/css/audit_graduate.css HTTP/1.1" 304 0
INFO 2024-01-04 13:44:04,793 basehttp 27412 37852 "GET /static/js/audit_graduate.js HTTP/1.1" 304 0
INFO 2024-01-04 13:44:04,796 basehttp 27412 35312 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2024-01-04 13:44:39,234 basehttp 27412 35312 "GET /admin/collectAndSendEmailAdmin/graduate/?g_major=%E8%AE%A1%E7%AE%97%E6%9C%BA%E4%B8%93%E4%B8%9A&o=-1 HTTP/1.1" 200 20865
INFO 2024-01-04 13:44:39,275 basehttp 27412 35312 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2024-01-04 13:44:42,041 basehttp 27412 35312 "GET /admin/collectAndSendEmailAdmin/graduate/?audit_status__exact=1&g_major=%E8%AE%A1%E7%AE%97%E6%9C%BA%E4%B8%93%E4%B8%9A&o=-1 HTTP/1.1" 200 15662
INFO 2024-01-04 13:44:42,073 basehttp 27412 35312 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2024-01-04 13:44:43,938 basehttp 27412 35312 "GET /admin/collectAndSendEmailAdmin/graduate/?audit_status__exact=2&g_major=%E8%AE%A1%E7%AE%97%E6%9C%BA%E4%B8%93%E4%B8%9A&o=-1 HTTP/1.1" 200 21019
INFO 2024-01-04 13:44:43,969 basehttp 27412 35312 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2024-01-04 13:44:45,475 basehttp 27412 35312 "GET /admin/collectAndSendEmailAdmin/graduate/?audit_status__exact=1&g_major=%E8%AE%A1%E7%AE%97%E6%9C%BA%E4%B8%93%E4%B8%9A&o=-1 HTTP/1.1" 200 15662
INFO 2024-01-04 13:44:45,507 basehttp 27412 35312 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2024-01-04 13:44:49,032 basehttp 27412 35312 "GET /admin/collectAndSendEmailAdmin/graduate/?audit_status__exact=1&g_major=%E8%AE%A1%E7%AE%97%E6%9C%BA%E4%B8%93%E4%B8%9A&o=-1 HTTP/1.1" 200 15662
INFO 2024-01-04 13:44:49,065 basehttp 27412 35312 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2024-01-04 13:44:50,620 basehttp 27412 35312 "GET /admin/collectAndSendEmailAdmin/graduate/?audit_status__exact=1&o=-1 HTTP/1.1" 200 22458
INFO 2024-01-04 13:44:50,658 basehttp 27412 35312 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2024-01-04 13:44:52,247 basehttp 27412 35312 "GET /admin/collectAndSendEmailAdmin/graduate/?audit_status__exact=1&o=-1 HTTP/1.1" 200 22458
INFO 2024-01-04 13:44:52,283 basehttp 27412 35312 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2024-01-04 13:44:59,977 basehttp 27412 35312 "GET /admin/collectAndSendEmailAdmin/graduate/?audit_status__exact=2&o=-1 HTTP/1.1" 200 25010
INFO 2024-01-04 13:45:00,010 basehttp 27412 35312 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2024-01-04 13:45:01,528 basehttp 27412 35312 "GET /admin/collectAndSendEmailAdmin/graduate/?audit_status__exact=1&o=-1 HTTP/1.1" 200 22458
INFO 2024-01-04 13:45:01,560 basehttp 27412 35312 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2024-01-04 13:45:02,987 basehttp 27412 35312 "GET /admin/collectAndSendEmailAdmin/graduate/?o=-1 HTTP/1.1" 200 32329
INFO 2024-01-04 13:45:03,025 basehttp 27412 35312 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2024-01-04 13:45:06,500 basehttp 27412 35312 "GET /admin/collectAndSendEmailAdmin/graduate/?audit_status__exact=0&o=-1 HTTP/1.1" 200 20587
INFO 2024-01-04 13:45:06,539 basehttp 27412 35312 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2024-01-04 13:45:08,206 basehttp 27412 35312 "GET /admin/collectAndSendEmailAdmin/graduate/?o=-1 HTTP/1.1" 200 32329
INFO 2024-01-04 13:45:08,243 basehttp 27412 35312 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2024-01-05 17:09:08,295 autoreload 34648 42764 Watching for file changes with StatReloader
INFO 2024-01-05 17:20:17,779 basehttp 34648 32296 "GET / HTTP/1.1" 200 308
WARNING 2024-01-05 17:20:19,430 log 34648 32296 Not Found: /favicon.ico
WARNING 2024-01-05 17:20:19,431 basehttp 34648 32296 "GET /favicon.ico HTTP/1.1" 404 2763
INFO 2024-01-05 17:20:20,187 basehttp 34648 32296 "GET /admin HTTP/1.1" 301 0
INFO 2024-01-05 17:20:20,260 basehttp 34648 32296 "GET /admin/ HTTP/1.1" 200 5753
INFO 2024-01-05 17:20:20,409 basehttp 34648 32296 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2024-01-05 17:20:20,409 basehttp 34648 38204 "GET /static/admin/img/icon-deletelink.svg HTTP/1.1" 200 392
INFO 2024-01-05 17:20:24,048 basehttp 34648 43208 "GET /admin/collectAndSendEmailAdmin/graduate/ HTTP/1.1" 200 31266
INFO 2024-01-05 17:20:24,065 basehttp 34648 43208 "GET /static/css/audit_graduate.css HTTP/1.1" 304 0
INFO 2024-01-05 17:20:24,086 basehttp 34648 43208 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2024-01-05 17:20:24,100 basehttp 34648 43208 "GET /static/js/audit_graduate.js HTTP/1.1" 304 0
INFO 2024-01-05 17:56:46,407 basehttp 34648 57092 "GET /admin/collectAndSendEmailAdmin/graduate/?g_major=%E8%AE%A1%E7%AE%97%E6%9C%BA%E4%B8%93%E4%B8%9A HTTP/1.1" 200 20013
INFO 2024-01-05 17:56:46,444 basehttp 34648 57092 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2024-01-05 17:56:49,808 basehttp 34648 57092 "GET /admin/collectAndSendEmailAdmin/graduate/ HTTP/1.1" 200 31266
INFO 2024-01-05 17:56:53,181 basehttp 34648 57092 "GET /admin/collectAndSendEmailAdmin/graduate/?g_major=%E4%BD%8D%E8%89%B2%E4%B8%93%E4%B8%9A HTTP/1.1" 200 18335
INFO 2024-01-05 17:56:53,209 basehttp 34648 57092 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2024-01-05 17:56:54,847 basehttp 34648 57092 "GET /admin/collectAndSendEmailAdmin/graduate/ HTTP/1.1" 200 31266
INFO 2024-01-05 18:09:38,937 basehttp 34648 34400 "GET /media/certificates/mQNsohpj7gyhC92V94f0a7419caa9e0174f397ae8c3e886e_WB5ZmKz.png HTTP/1.1" 200 62301
INFO 2024-01-07 15:02:18,996 autoreload 33464 31892 Watching for file changes with StatReloader
